"book_num","book_id","chapter","verse","manuscript","date","words",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"GA 05","375-499","και","εξεπορευετο","προσ","αυτον","πασα","η","ιουδαια","χωρα","και",,"ιεροσολυμειτε","παντεσ","και","εβαπτιζοντο",,,"εν",,"ιορδανη",,"υπ","αυτου","εξομολογουμενοι","τασ","αμαρτιασ","αυτων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"GA 032","375-499","και","εξεπορευετο","προσ","αυτον","πασα","η","ιουδαια","χωρα","και","οι","ιεροσολυμειται",,"και","εβαπτιζοντο",,"παντεσ","εν","τω","ιορδανη",,"υπ","αυτου","εξομολογουμενοι","τασ","αμαρτιασ","αυτων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"WH",1885,"και","εξεπορευετο","προσ","αυτον","πασα","η","ιουδαια","χωρα","και","οι","ιεροσολυμειται","παντεσ","και","εβαπτιζοντο","υπ","αυτου","εν","τω","ιορδανη","ποταμω",,,"εξομολογουμενοι","τασ","αμαρτιασ","αυτων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"ST",1550,"και","εξεπορευετο","προσ","αυτον","πασα","η","ιουδαια","χωρα","και","οι","ιεροσολυμιται",,"και","εβαπτιζοντο",,"παντεσ","εν","τω","ιορδανη","ποταμω","υπ","αυτου","εξομολογουμενοι","τασ","αμαρτιασ","αυτων","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,5,"Nestle",1904,"καὶ","ἐξεπορεύετο","πρὸς","αὐτὸν","πᾶσα","ἡ","Ἰουδαία","χώρα","καὶ","οἱ","Ἱεροσολυμεῖται","πάντες","καὶ","ἐβαπτίζοντο","ὑπ’","αὐτοῦ","ἐν","τῷ","Ἰορδάνῃ","ποταμῷ",,,"ἐξομολογούμενοι","τὰς","ἁμαρτίας","αὐτῶν","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"GA 01","325-360","και","ην",,"ο","ιωαννησ","ενδεδυμενοσ","τριχασ","καμηλου","και","ζωνην","δερματινην","περι","την","οσφυν","αυτου","και",,"εσθων","ακριδασ","και","μελι","αγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"GA 03","325-349","και","ην",,"ο","ιωανησ","ενδεδυμενοσ","τριχασ","καμηλου","και","ζωνην","δερματινην","περι","την","οσφυ","αυτου","και",,"εσθων","ακριδασ","και","μελι","αγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"GA 02","375-499",,"ην","δε",,"ιωαννησ","ενδεδυμενοσ","τριχασ","καμηλου","και","ζωνην","δερματινη","περι","την","οσφυν","αυτου","και",,"εσθιων","ακριδασ","και","μελι","αγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"GA 05","375-499",,"ην","δε",,"ιωαννησ","ενδεδυμενοσ","δερρην","καμελου","και",,,,,,,,,"εσθιων","ακριδασ","και","μελι","αγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"GA 032","375-499",,"ην","δε",,"ιωαννησ","ενδεδυμενοσ","τριχασ","καμηλου","και","ζωνην","δερματινην","περι","την","οσφυν","αυτου","και","ην","αισθιων","ακριδασ","και","μελι","αγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"WH",1885,"και","ην",,"ο","ιωανησ","ενδεδυμενοσ","τριχασ","καμηλου","και","ζωνην","δερματινην","περι","την","οσφυν","αυτου","και",,"εσθων","ακριδασ","και","μελι","αγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"ST",1550,,"ην","δε",,"ιωαννησ","ενδεδυμενοσ","τριχασ","καμηλου","και","ζωνην","δερματινην","περι","την","οσφυν","αυτου","και",,"εσθιων","ακριδασ","και","μελι","αγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,6,"Nestle",1904,"καὶ","ἦν",,"ὁ","Ἰωάνης","ἐνδεδυμένος","τρίχας","καμήλου","καὶ","ζώνην","δερματίνην","περὶ","τὴν","ὀσφὺν","αὐτοῦ","καὶ","ἔσθων",,"ἀκρίδας","καὶ","μέλι","ἄγριον","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,7,"GA 01","325-360","και","εκηρυσσεν","λεγων","ερχεται","ο","ισχυροτεροσ","μου",,,,,,,,"οπισω","μου",,,,"ου","ουκ","ειμι","ικανοσ","κυψασ","λυσαι","τον","ιμαντα","των","υποδηματων","αυτου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,7,"GA 03","325-349","και","εκηρυσσεν","λεγων","ερχεται","ο","ισχυροτεροσ","μου",,,,,,,,"οπισω",,,,,"ου","ουκ","ειμι","ικανοσ","κυψασ","λυσαι","τον","ιμαντα","των","υποδηματων","αυτου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,7,"GA 02","375-499","και","εκηρυσσεν","λεγων","ερχεται","ο","ισχυροσ","μου",,,,,,,,"οπισω","μου",,,,"ου","ουκ","ιμι","ικανοσ","κυψασ","λυσαι","τον","ιματα","των","υποδηματων","αυτου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,7,"GA 05","375-499","και",,"ελεγεν","αυτοισ",,,"εγω","μεν","υμασ","βαπτιζω","εν","υδατι","ερχεται","δε","οπισω","μου","ο","ισχυροτεροσ","μου","ου","ουκ","ιμι","ικανοσ",,"λυσαι","τον","ιμαντα","των","υποδηματων","αυτου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,7,"GA 032","375-499","και","εκηρυσσεν","λεγων","ερχεται","ο","ισχυροτεροσ","μου",,,,,,,,"οπισω","μου",,,,"ου","ουκ","ειμει","ικανοσ","κυψασ","λυσαι","τον","ιμαντα","του","υποδηματοσ","αυτου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,7,"WH",1885,"και","εκηρυσσεν","λεγων","ερχεται","ο","ισχυροτεροσ","μου",,,,,,,,"οπισω","[μου]",,,,"ου","ουκ","ειμι","ικανοσ","κυψασ","λυσαι","τον","ιμαντα","των","υποδηματων","αυτου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"MRK",1,7,"ST",1550,"και","εκηρυσσε","λεγων","ερχεται","ο","ισχυροτεροσ","μου",,,,,,,,"οπισω","μου",,,,"ου","ουκ","ειμι","ικανοσ","κυψασ","λυσαι","τον","ιμαντα","των","υποδηματων","αυτου","|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
